2012-12-14 00:00:00, 2.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 3.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 4.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 5.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 6.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 7.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 8.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 9.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 10.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 11.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 12.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 13.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 14.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 15.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 16.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 17.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 18.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 19.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 20.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 21.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 22.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 23.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 24.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 25.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 26.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 27.0, 27.0, Newtown, Connecticut
2012-04-02 00:00:00, 1.0, 7.0, Oakland, California
2012-04-02 00:00:00, 2.0, 7.0, Oakland, California
2012-04-02 00:00:00, 3.0, 7.0, Oakland, California
2012-04-02 00:00:00, 4.0, 7.0, Oakland, California
2012-04-02 00:00:00, 5.0, 7.0, Oakland, California
2012-04-02 00:00:00, 6.0, 7.0, Oakland, California
2012-04-02 00:00:00, 7.0, 7.0, Oakland, California
2012-02-22 00:00:00, 1.0, 5.0, Norcross, Georgia
2012-02-22 00:00:00, 2.0, 5.0, Norcross, Georgia
2012-02-22 00:00:00, 3.0, 5.0, Norcross, Georgia
2012-02-22 00:00:00, 4.0, 5.0, Norcross, Georgia
